1	91
2	182
3	183
4	103
5	83
6	90
7	100
8	88
9	122
10	110
11	140
12	96
13	120
14	114
15	79
16	238
17	143
18	97
19	143
20	82
21	209
22	105
23	150
24	102
25	101
26	88
27	151
28	137
29	97
30	112
31	70
32	125
33	83
34	95
35	201
36	203
37	69
38	153
39	75
40	96
41	52
42	74
43	96
44	115
45	87
46	96
47	82
48	125
49	131
50	102
51	70
52	80
53	99
54	124
55	108
56	142
57	87
58	133
59	112
60	90
61	94
62	95
63	103
64	185
65	142
66	99
67	150
68	84
69	46
70	110
71	80
72	134
73	113
74	93
75	179
76	82
77	106
78	61
79	157
80	111
81	92
82	183
83	51
84	143
85	87
86	102
87	51
88	116
89	107
90	76
91	73
92	104
93	201
94	85
95	99
96	108
97	63
98	131
99	62
100	111
101	121
102	109
103	70
104	148
105	105
106	103
107	105
108	104
109	92
110	80
111	120
112	101
113	69
114	76
115	92
116	69
117	94
118	55
119	138
120	112
121	78
122	111
123	104
124	136
125	104
126	72
127	88
128	76
129	120
130	114
131	105
132	100
133	114
134	69
135	112
136	117
137	106
138	79
139	117
140	100
141	146
142	113
143	120
144	155
145	88
146	121
147	98
148	100
149	81
150	60
151	80
152	56
153	109
154	89
155	179
156	107
157	99
158	101
159	125
160	80
161	93
162	57
163	79
164	221
165	96
166	94
167	119
168	89
169	81
170	94
171	115
172	92
173	117
174	215
175	83
176	111
177	104
178	76
179	204
180	159
181	123
182	87
183	100
184	90
185	93
186	67
187	138
188	83
189	81
190	77
191	101
192	78
193	82
194	131
195	96
196	69
197	115
198	90
199	154
200	77
201	93
202	189
203	84
204	96
205	109
206	81
207	106
208	131
209	94
210	75
211	109
212	120
213	128
214	77
215	121
216	72
217	139
218	71
219	106
220	84
221	81
222	91
223	98
224	104
225	84
226	130
227	94
228	166
229	138
230	90
231	95
232	94
233	98
234	92
235	130
236	79
237	127
238	203
239	92
240	127
241	120
242	95
243	174
244	115
245	155
246	84
247	82
248	103
249	94
250	101
251	90
252	73
253	110
254	125
255	82
256	152
257	80
258	95
259	61
260	106
261	68
262	95
263	114
264	133
265	93
266	97
267	99
268	133
269	118
270	157
271	188
272	94
273	126
274	247
275	101
276	104
277	94
278	149
279	111
280	139
281	95
282	87
283	107
284	115
285	133
286	112
287	100
288	128
289	90
290	92
291	137
292	90
293	153
294	84
295	80
296	82
297	92
298	108
299	101
300	94
301	173
302	112
303	107
304	106
305	81
306	118
307	95
308	90
309	96
310	94
311	99
312	121
313	89
314	94
315	99
316	70
317	90
318	233
319	118
320	118
321	76
322	87
323	105
324	117
325	88
326	179
327	262
328	166
329	200
330	128
331	111
332	119
333	150
334	113
335	94
336	91
337	174
338	86
339	187
340	73
341	92
342	114
343	80
344	153
345	77
346	92
