40-50	1
50-60	6
60-70	12
70-80	28
80-90	47
90-100	71
100-110	49
110-120	39
120-130	23
130-140	19
140-150	9
150-160	14
160-170	2
170-180	6
180-190	7
200-210	7
210-220	1
220-230	1
230-240	2
240-250	1
260-270	1
